#wave	flux	unc
4199.107	0.075	0.086
4199.926	0.117	0.084
4200.745	0.113	0.082
4201.564	0.072	0.081
4202.383	0.088	0.082
4203.202	0.102	0.083
4204.021	0.092	0.083
4204.84	0.042	0.084
4205.659	0.006	0.085
4206.478	0.094	0.086
4207.297	0.109	0.086
4208.116	0.031	0.086
-4208.935	0.014	0.087
4209.754	0.027	0.088
4210.573	0.065	0.088
4211.392	0.065	0.088
4212.211	0.047	0.087
4213.03	0.019	0.088
-4213.849	0.052	0.088
-4214.668	0.085	0.089
-4215.487	0.038	0.089
4216.306	0.024	0.087
4217.125	0.054	0.085
4217.944	0.082	0.084
4218.763	0.063	0.086
-4219.582	0.031	0.086
4220.401	0.019	0.085
4221.22	0.115	0.086
4222.039	0.148	0.087
4222.858	0.107	0.088
-4223.677	0.012	0.088
-4224.496	0.032	0.086
4225.315	0.04	0.084
4226.134	0.079	0.083
4226.953	0.091	0.081
4227.772	0.108	0.078
4228.591	0.05	0.077
-4229.41	0.049	0.077
4230.229	0.029	0.077
4231.048	0.073	0.079
4231.867	0.021	0.081
-4232.686	0.003	0.083
4233.505	0.081	0.085
4234.324	0.124	0.086
4235.143	0.114	0.086
4235.962	0.113	0.086
4236.781	0.118	0.085
4237.6	0.053	0.084
4238.419	0.052	0.083
4239.238	0.121	0.082
4240.057	0.108	0.083
4240.876	0.105	0.082
4241.695	0.09	0.082
4242.514	0.042	0.083
4243.333	0.007	0.085
4244.152	0.035	0.083
4244.971	0.064	0.082
4245.79	0.096	0.082
4246.609	0.136	0.085
4247.428	0.065	0.086
-4248.247	0.008	0.086
4249.066	0.026	0.086
4249.885	0.106	0.086
4250.704	0.06	0.085
4251.523	0.009	0.083
-4252.342	0.02	0.082
-4253.161	0.038	0.083
-4253.98	0.002	0.084
-4254.799	0.027	0.085
-4255.618	0.012	0.085
4256.437	0.073	0.082
4257.256	0.048	0.081
-4258.075	0.012	0.083
-4258.894	0.023	0.085
4259.713	0.035	0.083
4260.532	0.111	0.082
4261.351	0.11	0.081
4262.17	0.037	0.08
-4262.989	0.031	0.079
-4263.808	0.028	0.08
4264.627	0.029	0.081
4265.446	0.087	0.082
4266.265	0.065	0.082
-4267.084	0.009	0.084
4267.903	0.07	0.086
4268.722	0.141	0.086
4269.541	0.118	0.084
4270.36	0.079	0.083
4271.179	0.086	0.082
4271.998	0.071	0.081
4272.817	0.067	0.079
4273.636	0.083	0.078
4274.455	0.014	0.077
4275.274	0.012	0.076
4276.093	0.04	0.076
4276.912	0.017	0.076
4277.731	0.017	0.077
4278.55	0.044	0.08
4279.369	0.041	0.082
4280.188	0.025	0.081
4281.007	0.064	0.082
4281.826	0.06	0.082
4282.645	0.072	0.081
4283.464	0.132	0.08
4284.283	0.142	0.081
4285.102	0.059	0.082
4285.921	0.046	0.082
4286.74	0.101	0.08
4287.559	0.082	0.079
4288.378	0.058	0.077
4289.197	0.062	0.077
4290.016	0.102	0.078
4290.835	0.142	0.078
4291.654	0.097	0.077
4292.473	0.067	0.076
4293.292	0.065	0.075
4294.111	0.049	0.076
4294.93	0.047	0.076
4295.749	0.032	0.077
4296.568	0.068	0.079
4297.387	0.152	0.079
4298.206	0.138	0.078
4299.025	0.104	0.077
4299.844	0.121	0.076
4300.663	0.139	0.074
4301.482	0.077	0.071
4302.301	0.08	0.07
4303.12	0.063	0.071
-4303.939	0.032	0.071
-4304.758	0.074	0.071
4305.577	0.017	0.071
4306.396	0.062	0.071
4307.215	0.045	0.071
4308.034	0.103	0.071
4308.853	0.11	0.072
4309.672	0.053	0.071
4310.491	0.025	0.07
4311.31	0.072	0.07
4312.129	0.078	0.07
4312.948	0.026	0.07
4313.767	0.041	0.071
4314.586	0.148	0.074
4315.405	0.131	0.076
4316.224	0.117	0.079
4317.043	0.128	0.081
4317.862	0.095	0.081
4318.681	0.044	0.082
4319.5	0.062	0.084
4320.319	0.103	0.085
4321.138	0.081	0.085
4321.957	0.024	0.085
4322.776	0.052	0.085
4323.595	0.115	0.085
4324.414	0.124	0.083
4325.233	0.093	0.081
4326.052	0.081	0.078
4326.871	0.11	0.076
4327.69	0.143	0.076
4328.509	0.145	0.076
4329.328	0.151	0.079
4330.147	0.171	0.081
4330.966	0.155	0.081
4331.785	0.08	0.081
4332.604	0.047	0.082
4333.423	0.097	0.084
4334.242	0.145	0.084
4335.061	0.119	0.082
4335.88	0.115	0.083
4336.699	0.129	0.083
4337.518	0.139	0.083
4338.337	0.13	0.082
4339.156	0.091	0.081
4339.975	0.084	0.08
4340.794	0.101	0.078
4341.613	0.097	0.076
4342.432	0.069	0.075
4343.251	0.05	0.076
4344.07	0.077	0.077
4344.889	0.141	0.079
4345.708	0.176	0.08
4346.527	0.155	0.081
4347.346	0.142	0.082
4348.165	0.147	0.084
4348.984	0.112	0.084
4349.803	0.102	0.086
4350.622	0.144	0.087
4351.441	0.149	0.086
4352.26	0.06	0.084
4353.079	0.053	0.082
4353.898	0.009	0.081
-4354.717	0.019	0.081
4355.536	0.098	0.082
4356.355	0.125	0.081
4357.174	0.083	0.081
4357.993	0.084	0.086
4358.812	0.16	0.1
4359.631	0.2	0.118
4360.45	0.102	0.129
4361.269	0.02	0.128
4362.088	0.109	0.122
4362.907	0.214	0.116
4363.726	0.129	0.107
-4364.545	0.023	0.098
-4365.364	0.038	0.092
4366.183	0.057	0.087
4367.002	0.106	0.086
4367.821	0.1	0.087
4368.64	0.102	0.087
4369.459	0.121	0.086
4370.278	0.098	0.085
4371.097	0.061	0.083
4371.916	0.089	0.083
4372.735	0.182	0.085
4373.554	0.165	0.084
4374.373	0.11	0.083
4375.192	0.091	0.084
4376.011	0.093	0.084
4376.83	0.111	0.083
4377.649	0.075	0.082
4378.468	0.077	0.082
4379.287	0.171	0.084
4380.106	0.116	0.084
4380.925	0.054	0.083
4381.744	0.071	0.083
4382.563	0.095	0.083
4383.382	0.068	0.082
4384.201	0.067	0.079
4385.02	0.062	0.076
4385.839	0.027	0.074
4386.658	0.055	0.073
4387.477	0.131	0.075
4388.296	0.183	0.079
